PIM | Brand,UPC Code,English Description,COST
Nivea,121021187,"<p><strong>Highlights:</strong></p><ul><li>Provides reliable 48h antiperspirant protection</li><li>Infused with Vitamin C</li><li>For softer, fairer and even toned underarms</li><li>Anti-yellow staining formula and quick dry</li><li>Skin tolerance dermatologically proven</li></ul>",26.0
Owala,121021210,"<p><strong>Highlights:</strong></p><ul><li>The Owala FreeSip Made of BPA- and phthalate-free, stain and odor-resistant durable Eastman Tritan plastic with Locking Push-Button Lid easily tackles every thirst.&nbsp;</li><li>With a built-in, easy-clean straw and a wide-mouth opening, the FreeSip reusable bottle is designed for drinking two different ways: sipping upright through the straw or tilting back to swig from the wide-mouth spout opening. - Flip-top lid: With the flip-top lid, you simply press the button and this bottle springs open ready for action.</li></ul>",52.17
Color Wow,121021291,"<h2><strong>Highlights:</strong></h2><ul>  <li><strong>innovative, ultra-light, alcohol-free spray for natural curls and waves</strong></li><li><strong>all-in-one solution for most wavy, classic curls and spirals</strong></li><li><strong>delivers all the advantages of a gel, serum and cream in one product</strong></li><li><strong>does not weigh the hair down</strong></li><li><strong>light-weight formula</strong></li><li><strong>supplies curls with moisture and frizz protection</strong></li></ul>",145.0
Color Wow,121021292,,150.0
Urban Decay,121021293,,155.0
The Ordinary,121021294,,70.0
beauty of Joseon,121021295,"<h3><strong>Highlights:</strong></h3><ul><li><strong>Beauty Of Joseon Sun Screen Contains 30% rice extract and fermented grain extract providing moisture and nourishment to the skin.</strong></li><li><strong>Beauty Of Joseon Soothing Rice Probiotics Rich in vitamins B, C, and E, amino acids, and minerals that help moisturize and soothe dry skin.</strong></li><li><strong>Beauty Of Joseon SPF The skin gently absorbs it without leaving a white or greasy film</strong>.</li></ul>",90.85
La Roche Posay,121021344,<p><strong>Highlights:</strong></p><ul>  <li>Brand: La Roche-Posay  </li>  <li> Category Type: Face  </li>  <li> Suitable Skin Type: Oily  </li>  <li> Size: 15 ml  </li>  <li> Type: Creams  </li>  <li> Texture: Cream  </li>  <li> Recommended Use: Blemishes&nbsp;</li></ul>,95.0
Filorga,121022149,"<p><strong>Highlights:</strong></p><li>Highly concentrated for visibly regenerated skin and a more youthful appearance</li><li>Formula incorporating ncef, a unique polyrevitalizing complex derived from aesthetic medicine</li><li>Power of retinol is combined with a dna complex + Vitamin C for younger-looking skin</li><li>Ultra-light texture with high absorption</li><li>Ultra-light high-penetration gel water texture</li>",400.0
La Roche Posay,121022251,"<p><strong>Highlights:</strong></p><ul>
<li>This ultra hydrating hyaluronic acid face and neck serum leaves skin feeling plump to the touch.</li><li>Repairs by replenishing skin’s natural moisture barrier. </li><li>This serum combines concentrated pure hyaluronic acid| madecassoside and vitamin B5 for optimal effectiveness.</li></ul>",209.57
